code,population
hr_SI,1282634
hsb,12825
hsb_DE,12825
hsn,40426580
hsn_CN,40426580
ht,8964918
ht_HT,8964918
hu,12443429
hu_AT,23034
hu_CA,49002
hu_HU,9771830
hu_IL,86754
hu_RO,1405991
hu_RS,336584
hu_SI,9251
hu_SK,598466
hu_UA,162514
hur,716
hur_CA,716
hy,5317271
hy_AM,2960893
hy_CY,2786
hy_GE,279790
hy_IR,203815
hy_LB,284419
hy_RU,1190464
hy_SY,349171
hy_TR,45929
hz,239336
hz_NA,239336
ia,135
ia_FR,135
ia_SE,0
iba,816302
iba_MY,816302
ibb,2996391
ibb_NG,2996391
id,171207687
id_ID,170896640
id_NL,311047
ie,1
ie_EE,1
ife,111909
ife_TG,111909
ig,27823640
ig_NG,27823640
ii,8364120
ii_CN,8364120
ik,7983
ik_US,7983
ilo,10481376
ilo_PH,10481376
inh,226755
inh_RU,226755
io,0
io_US,0
is,350734
is_IS,350734
it,70247059
it_AT,797350
it_AU,483863
it_BR,592804
it_CA,343016
it_CH,361371
it_DE,5611179
it_FR,1153419
it_GB,131522
it_HR,67644
it_IT,59282565
it_MT,256069
it_SI,3995
it_SM,30466
it_US,1130972
it_VA,820
iu,45232
iu_CA,45232
iu_Latn,45232
iu_Latn_CA,45232
izh,141
izh_RU,141
ja,119729025
ja_BR,444603
ja_CA,52771
ja_JP,119231650
jam,2668141
jam_JM,2668141
jbo,0
jbo_US,0
jgo,94333
jgo_CM,94333
jmc,433290
jmc_TZ,433290
jml,970492
jml_NP,970492
jut,0
jut_DK,0
jv,91180665
jv_ID,90788840
jv_MY,391825
ka,3543645
ka_GE,3437420
ka_IR,60295
ka_TR,45929
kaa,489046
kaa_UZ,489046
kab,3351886
kab_DZ,3351886
kac,962031
kac_MM,962031
kaj,449458
kaj_NG,449458
kam,4068120
kam_KE,4068120
kao,195534
kao_ML,195534
kbd,1070872
kbd_RU,439338
kbd_TR,631534
kcg,199046
kcg_NG,199046
kck,770953
kck_ZW,770953
kde,1463820
kde_TZ,1463820
kdt,421206
kdt_KH,18619
kdt_LA,71495
kdt_TH,331091
kea,530762
kea_CV,530762
ken,69362
ken_CM,69362
kfo,63206
kfo_CI,63206
kfr,994567
kfr_IN,994567
kfy,2917398
kfy_IN,2917398
kg,1526700
kg_CD,1526700
kge,854483
kge_ID,854483
kgp,50811
kgp_BR,50811
kha,1060872
kha_IN,1060872
khb,264863
khb_CN,264863
khn,1989135
khn_IN,1989135
khq,332407
khq_ML,332407
kht,13526
kht_IN,9282
kht_MM,4244
khw,350251
khw_PK,350251
ki,9099743
ki_KE,9099743
kiu,155833
kiu_TR,155833
kj,920524
kj_NA,920524
kjg,431949
kjg_LA,431949
kk,12219390
kk_Arab,1418002
kk_Arab_AF,2015
kk_Arab_CN,1184917
kk_Arab_IR,2972
kk_Arab_MN,228098
kk_KZ,12218816
kk_TR,574
kkj,149823
kkj_CM,149823
kl,55440
kl_DK,7043
kl_GL,48397
kln,4068120
kln_KE,4068120
km,15065030
km_KH,15065030
kmb,8130575
kmb_AO,8130575
kn,49065330
kn_IN,49065330
knf,83151
knf_GW,50104
knf_SN,33046
ko,78357047
ko_BR,44460
ko_CA,169623
ko_CN,2091030
ko_JP,652636
ko_KP,22566280
ko_KR,51835100
ko_US,997917
koi,63774
koi_RU,63774
kok,4906533
kok_IN,4906533
kos,7990
kos_FM,7990
kpe,1186303
kpe_GN,476041
kpe_LR,710262
krc,240927
krc_RU,240927
kri,6293683
kri_SL,6293683
krj,425805
krj_PH,425805
krl,116212
krl_RU,116212
kru,2519571
kru_IN,2519571
ks,5598084
ks_IN,5436968
ks_PK,161115
ksb,995397
ksb_TZ,995397
ksf,88784
ksf_CM,88784
ksh,240479
ksh_DE,240479
ku,6773773
ku_AM,99703
ku_AZ,24493
ku_Arab,92983
ku_Arab_LB,92983
ku_DE,529054
ku_GE,35573
ku_SY,1551872
ku_TM,22114
ku_TR,4510962
kum,283444
kum_RU,283444
kv,255099
kv_RU,255099
kvr,373836
kvr_ID,373836
kvx,373601
kvx_PK,373601
kw,1972
kw_GB,1972
kwk,376
kwk_CA,376
kxm,1172615
kxm_TH,1172615
kxp,256851
kxp_PK,256851
kxv,38456
kxv_IN,38456
ky,2863152
ky_Arab,473966
ky_Arab_CN,473966
ky_KG,2863152
ky_Latn,1148
ky_Latn_TR,1148
la,820
la_VA,820
lad,112781
lad_IL,112781
lag,509409
lag_TZ,509409
lah,93433552
lah_IN,33152
lah_PK,93400400
laj,1643614
laj_UG,1643614
lb,421015
lb_LU,421015
lbe,110543
lbe_RU,110543
lbw,347133
lbw_ID,347133
lcp,87750
lcp_CN,80853
lcp_TH,6897
lep,79744
lep_BT,30510
lep_IN,46413
lep_NP,2820
lez,255099
lez_RU,255099
lg,5622890
lg_UG,5622890
li,950422
li_NL,950422
lif,368085
lif_IN,34478
lif_NP,333606
lij,536663
lij_IT,536663
lil,527
lil_CA,527
lis,627309
lis_CN,627309
ljp,1842479
ljp_ID,1842479
lki,645417
lki_IR,645417
lkt,8315
lkt_US,8315
lmn,3580443
lmn_IN,3580443
lmo,3901517
lmo_CH,344563
lmo_IT,3556953
ln,3514491
ln_AO,217899
ln_CD,3155180
ln_CF,14378
ln_CG,127033
lo,5138706
lo_LA,5138706
lol,620858
lol_CD,620858
loz,1045596
loz_ZM,1045596
lrc,2020512
lrc_IQ,237123
lrc_IR,1783389
lt,2488617
lt_GB,131522
lt_LT,2349055
lt_PL,8039
ltg,167429
ltg_LV,167429
lu,2340940
lu_CD,2340940
lua,9770880
lua_CD,9770880
luo,5245734
luo_KE,5245734
luy,5888069
luy_KE,5888069
luz,1019079
luz_IR,1019079
lv,1147550
lv_LV,1147550
lwl,6897
lwl_TH,6897
lzh,0
lzh_CN,0
lzz,22964
lzz_TR,22964
mad,16822638
mad_ID,16822638
maf,205313
maf_CM,205313
mag,15913080
mag_IN,15913080
mai,19249149
mai_IN,15913080
mai_NP,3336069
mak,1949289
mak_ID,1949289
man,630460
man_GM,630460
man_Nkoo,2881302
man_Nkoo_GN,2881302
mas,1734738
mas_KE,856446
mas_TZ,878292
maz,437410
maz_MX,437410
mdf,297616
mdf_RU,297616
mdh,1310172
mdh_PH,1310172
mdr,245663
mdr_ID,245663
men,1813082
men_LR,24351
men_SL,1788731
mer,2141116
mer_KE,2141116
mey,7238
mey_SN,7238
mfa,3448870
mfa_TH,3448870
mfe,1241433
mfe_MU,1241433
mfv,121170
mfv_SN,121170
mg,24260130
mg_MG,24260130
mgh,1354419
mgh_MZ,1354419
mgo,130401
mgo_CM,130401
mgp,333606
mgp_NP,333606
mgy,819739
mgy_TZ,819739
mh,56879
